English,Filipino-Correct,Filipino-Flawed,Remarks,Contributor
What is the oldest permanent European settlement in the United States?,Ano ang pinakamatanda at permamenteng European settlement sa Estados Unidos?,Ano ang pinakamatandang permanenteng European settlement sa United States?,awkward use of multiple attributive adjectives,Enrique Lejano / Monica Manlises
"As seen from Earth, the Moon goes through a series of phases due to changes in which of the following?","Mula sa Earth, makikitang dumadaan sa serye ng mga yugto ang Buwan dahil sa pagbabago ng alin sa mga sumusunod?","Tulad ng nakikita mula sa Earth, ang Buwan ay dumadaan sa isang serye ng mga yugto dahil sa mga pagbabago sa alin sa mga sumusunod?","prone to misinterpretation for ""dumadaan""; sounds unnatural in the first part",Enrique Lejano / Monica Manlises
In which of the following fields did Islamic civilization most influence Europeans at the time of the Crusades?,Sa alin sa mga sumusunod na larangan pinaka nagkaroon ng impluwensiya ang Islamic civilization sa mga taga-Europa noong panahon ng Krusada?,Alin sa mga sumusunod na larangan ang pinakanakaimpluwensya ng sibilisasyong Islam sa mga Europeo noong panahon ng mga Krusada?,sounds unnatural,Enrique Lejano / Monica Manlises
Which of the following is not a flavor of Ben & Jerry's Ice Cream?,Alin sa mga sumusunod ay hindi flavor ng Ben & Jerry's Ice Cream?,Alin sa mga sumusunod ang hindi lasa ng Ben & Jerry's Ice Cream?,unnecessary translation of jargon 'flavor',Enrique Lejano / Monica Manlises
Which of the following terms refers to the use of distortion to create the illusion of an object extending into space?,Alin sa mga sumusunod na salita ang tumutukoy sa paggamit ng distortion upang bumuo ng ilusyon na ang isang bagay ay nageextend sa space?,Alin sa mga sumusunod na termino ang tumutukoy sa paggamit ng distortion upang lumikha ng ilusyon ng isang bagay na umaabot sa kalawakan?,"literal translation of 'term', 'create', 'space'",Enrique Lejano / Monica Manlises
How much energy do Americans waste each year by throwing out the unused ice in their drinks?,Gaano kalaki ang nasasayang na enerhiya ng mga Amerikano bawat taon sa pagtatapon ng hindi nagamit na yelo sa kanilang inumin?,Gaano karaming enerhiya ang nasasayang ng mga Amerikano bawat taon sa pamamagitan ng pagtatapon ng hindi nagamit na yelo sa kanilang mga inumin?,countable adjective (karami) used on abstract object (enerhiya),Enrique Lejano / Monica Manlises
A second-year college student is usually called a what?,Ano ang karaniwang tawag sa estudyanteng na sa ikalawang antas ng kolehiyo?,Ang pangalawang taong kolehiyo ay karaniwang tinatawag na ano?,"prone to misinterpretation for ""taong"", sounds unnatural",Enrique Lejano / Monica Manlises
What is your astrological sign if you were born on Halloween?,Ano ang iyong astrological sign kung ikaw ay ipinanganak nang Halloween?,Ano ang iyong astrological sign kung ipinanganak ka sa Halloween?,use of preposition 'sa' instead of adverbial conjunction 'nang',Enrique Lejano / Monica Manlises
Old-fashioned steam engines were powered by coal transferred from the tender to the engine by human stokers using a shovel. What is the maximum power such an engine could attain?,Ang mga makalumang steam engines ay pinapagana ng uling na inililipat ng taong stokers mula sa tender tungo sa makina gamit ang pala. Ano ang maximum power na kayang abutin ng naturang makina?,Ang mga makalumang steam engine ay pinalakas ng karbon na inilipat mula sa malambot patungo sa makina ng mga human stoker gamit ang isang pala. Ano ang pinakamataas na kapangyarihan na maaaring makuha ng naturang makina?,"unnecessary translation of jargon 'tender', unnatural translation of maximal adjective (maximum_)",Enrique Lejano / Monica Manlises
People are supposed to drive on the left-hand side of the road in which country?,Sa aling bansa dapat magmaneho ang mga tao sa kaliwang bahagi ng kalsada?,Ang mga tao ay dapat na magmaneho sa kaliwang bahagi ng kalsada sa anong bansa?,forces same sentence structure (ang-ay),Enrique Lejano / Monica Manlises
An airplane's black box is usually what color?,Ano ang karaniwang kulay ng black box ng mga eroplano?,Karaniwang anong kulay ang itim na kahon ng eroplano?,unnecessary translation of jargon 'black box',Enrique Lejano / Monica Manlises
Which of these sentences is written in the subjunctive?,Alin sa mga pangungusap na ito ay nakasulat nang subjunctive?,Alin sa mga pangungusap na ito ang nakasulat sa subjunctive?,use of preposition 'sa' instead of adverbial conjunction 'nang',Enrique Lejano / Monica Manlises
Which actress played a pointy-eared Vulcan in the movie 'Star Trek II: The Wrath of Khan'?,Sinong aktres ang gumanap bilang isang Vulcan na may patusok na tenga sa palabas na 'Star Trek II: The Wrath of Khan'?,Sinong aktres ang gumanap na Vulcan na may pointy-eared sa pelikulang 'Star Trek II: The Wrath of Khan'?,incorrect use of 'may' for attributive adjective,Enrique Lejano / Monica Manlises
Which of these animals shares its name with a luxury car?,Alin sa mga sumusunod na hayop ang may kapangalan na luxury car?,Alin sa mga hayop na ito ang may pangalan sa isang marangyang kotse?,unnecessary translation of jargon 'luxury car',Enrique Lejano / Monica Manlises
Which of the following poses the greatest safety risk while being heated in a school laboratory?,Alin sa mga sumusunod ang may pinakamalaking safety risk kapag iniinit sa laboratoryo ng paaralan?,Alin sa mga sumusunod ang nagdudulot ng pinakamalaking panganib sa kaligtasan habang pinapainit sa laboratoryo ng paaralan?,unnatural translation of maximal adjective (greatest _),Enrique Lejano / Monica Manlises
Which of the following best helps explain why volcanoes tend to form along subduction zones?,Alin sa mga sumusunod ang pinakamabuting makakapagpaliwanag kung bakit madalas na nabubuo ang mga bulkan malapit sa mga subduction zones?,Alin sa mga sumusunod ang pinakamahusay na nakakatulong na ipaliwanag kung bakit ang mga bulkan ay madalas na bumubuo sa mga subduction zone?,unnatural translation of maximal adjective (best _),Enrique Lejano / Monica Manlises
Some observers argue that a limitation of the official unemployment rate is that it understates the true unemployment level because it fails to include which of the following?,"Ayon sa ilang tagapagmasid, isang limitasyon ng opisyal na unemployment rate ay hindi nito lubos na naipapakita ang tunay na antas ng kawalan ng trabaho dahil hindi nito ibinibilang ang alin sa mga sumusunod?",Ang ilang mga tagamasid ay nangangatwiran na ang isang limitasyon ng opisyal na antas ng kawalan ng trabaho ay na ito ay minamaliit ang tunay na antas ng kawalan ng trabaho dahil hindi nito isama ang alin sa mga sumusunod?,"unnecessary translation of jargon 'unemployment rate', wrong prefix 'isama'",Enrique Lejano / Monica Manlises
Amps are a unit of measurement of what?,Ano ang sinusukat ng amp?,Ang mga amp ay isang yunit ng pagsukat ng ano?,"literal translation, sounds unnatural",Enrique Lejano / Monica Manlises
What is the 7-Eleven company's trademarked name for its super-large sodas?,Ano ang opisyal na tawag ng 7-Eleven sa super-large sodas nito?,Ano ang naka-trademark na pangalan ng kumpanyang 7-Eleven para sa napakalaking soda nito?,"literal translation, sounds unnatural",Enrique Lejano / Monica Manlises
What city did The Beatles originally call home?,Saang siyudad lumaki ang The Beatles?,Anong lungsod ang orihinal na tinawag ng Beatles na tahanan?,literal translation of noun phrase not used in filipino,Enrique Lejano / Monica Manlises
Which of these is not one of the three branches of the US government?,Alin sa mga sumusunod ang hindi kabilang sa tatlong sangay ng pamahalaan ng US?,Alin sa mga ito ang hindi isa sa tatlong sangay ng gobyerno ng US?,"literal translation, sounds unnatural",Enrique Lejano / Monica Manlises
In British currency how many pence make a pound?,"Sa British currency, ilang pence ang katumbas ng isang pound?",Sa British currency ilang pence ang kumikita ng isang libra?,"literal translation of 'makes' to 'kumikita', unnecessary translation of jargon 'pound'",Enrique Lejano / Monica Manlises
Which of the following lists includes minerals only?,Alin sa mga sumusunod na listahan ang naglalaman ng mga mineral lamang?,Alin sa mga sumusunod na listahan ang may kasamang mineral lamang?,literal translation of 'includes' to 'kasamang',Enrique Lejano / Monica Manlises
What metal device is used by police to immobilize the wheels of repeat parking offenders?,Anong metal device ang ginagamit ng mga pulis upang i-immobilize ang mga gulong ng mga repeat parking offenders?,Anong kagamitang metal ang ginagamit ng pulisya para i-immobilize ang mga gulong ng mga umuulit na nagkasala sa paradahan?,unnecessary translation of jargon 'repeat parking offenders',Enrique Lejano / Monica Manlises
"Of the following objectives, which is most appropriate for a technology education program that has a goal of enabling students to develop creative technical solutions to present and future societal problems?",Alin sa mga sumusunod na layunin ang pinakaangkop para sa isang technology education program na may hangaring matulungan ang mga estudyante na makagawa ng creative technical solutions para sa mga pangkasulukuyan at panghinaharap na suliraning panlipunan?,"Sa mga sumusunod na layunin, alin ang pinakaangkop para sa isang programa sa edukasyon sa teknolohiya na may layuning payagan ang mga mag-aaral na bumuo ng mga malikhaing teknikal na solusyon sa kasalukuyan at hinaharap na mga problema sa lipunan?","unnecessary translation of jargon 'technology education program' and 'creative technical solutions', literal translation of 'enables' to 'payagan'",Enrique Lejano / Monica Manlises
What is another way of writing-'six feet'?,Ano ang isa pang paraan ng pagsulat ng 'six feet'?,Ano ang isa pang paraan ng pagsulat-'six feet'?,lacks linker 'ng',Enrique Lejano / Monica Manlises
"In construction, the plates are horizontal structures at the top and bottom of a wall. Which of the following are the vertical structures?","Sa konstruksyon, ang mga plates ay pahalang na estraktura sa taas at ilalim ng isang pader. Alin sa mga sumusunod ang mga patayong estraktura?","Sa pagtatayo, ang mga plato ay mga pahalang na istruktura sa itaas at ibaba ng isang pader. Alin sa mga sumusunod ang patayong istruktura?","literal translation of jargon 'construction', unnecessary translation of jargon 'plates'",Enrique Lejano / Monica Manlises
"To best encourage student engagement in the classroom, a teacher should select texts based on which of the following?","Upang mahikayat ang mga mag-aaral na makilahok sa klase, dapat pumili ang guro ng mga teksto batay sa alin sa mga sumusunod?","Upang pinakamahusay na mahikayat ang pakikipag-ugnayan ng mag-aaral sa silid-aralan, dapat pumili ang isang guro ng mga teksto batay sa alin sa mga sumusunod?",unnatural translation of maximal adjective 'best',Enrique Lejano / Monica Manlises
What is the (approximate) value of lemon juice on the pH scale?,Ano ang (tinatayang) value ng lemon juice sa pH scale?,Ano ang (tinatayang) halaga ng lemon juice sa pH scale?,unnecessary translation of jargon 'value',Enrique Lejano / Monica Manlises
On average what length of time passes between high tides?,"Sa karaniwan, gaano kahaba ang oras na lumilipas sa pagitan ng mga high tide?","Sa karaniwan, anong haba ng oras ang lumilipas sa pagitan ng high tides?",literal translation of 'length of time',Enrique Lejano / Monica Manlises
A student is standing in front of the class delivering a presentation. Some students in the back of the room note that they are having trouble hearing what the presenter is saying. Which of the following suggestions to the presenter would best address this problem?,Nakatayo ang isang estudyante sa harap ng klase para magbigay ng presentasyon. May mga estudyante sa likuran na hindi gaanong naririnig ang nagsasalita. Alin sa mga sumusunod na mungkahi ang pinakamakatutulong sa nagsasalita upang malutas ang problemang ito?,Isang estudyante ang nakatayo sa harap ng klase na naghahatid ng presentasyon. Napansin ng ilang estudyante sa likod ng silid na nahihirapan silang marinig ang sinasabi ng nagtatanghal. Alin sa mga sumusunod na mungkahi sa nagtatanghal ang pinakamahusay na tutugon sa problemang ito?,literal translation,Enrique Lejano / Monica Manlises
"Anna feels that she is confusing ""who"" and ""whom"" in her narrative. She wants to correct her error. Which of the following reference materials will best help Anna accomplish such a task?","Pakiramdam ni Anna, nagkakamali siya sa paggamit ng 'who' at 'whom' sa kanyang salaysay. Nais niyang itama ito. Alin sa mga sumusunod na sanggunian ang pinakamainam na makatutulong kay Anna rito?","Pakiramdam ni Anna ay nililito niya ang ""sino"" at ""sino"" sa kanyang salaysay. Gusto niyang itama ang pagkakamali niya. Alin sa mga sumusunod na sangguniang materyal ang pinakamahusay na makatutulong kay Anna na magawa ang gayong gawain?","unnecessary translation of words in quotations, unnatural translationo f maximal adjective 'best'",Enrique Lejano / Monica Manlises
Which brand of cat food claims it's so tasty that 'cats ask for it by name'?,"Aling brand ng cat food ang nagsasabing sa sobrang sarap nito, 'cats ask for it by name'?",Aling brand ng cat food ang nagsasabing napakasarap nito kaya 'tinatanong ito ng mga pusa sa pangalan'?,unnecessary translation of words in quotations,Enrique Lejano / Monica Manlises
How many airplanes are in the air worldwide right now (as of 2014)?,Ilang eroplano ang lumilipad sa buong mundo ngayon (hanggang 2014)?,Ilang eroplano ang nasa himpapawid sa buong mundo ngayon (sa 2014)?,literal translation of 'air' and 'as of',Enrique Lejano / Monica Manlises
Which of these foods could contain small amounts of naturally occurring opium?,Alin sa mga pagkaing ito ang maaaring maglaman ng kaunting opyo na mula sa likas na proseso?,Alin sa mga pagkaing ito ang maaaring maglaman ng maliit na dami ng natural na opyo?,"unnatural translation of amount, unnatural translation of multiple attributive adjectives",Enrique Lejano / Monica Manlises
Who kills Tony at the end of the film 'West Side Story'?,Sino ang papatay kay Tony sa dulo ng pelikulang 'West Side Story'?,Sino ang pumatay kay Tony sa pagtatapos ng pelikulang 'West Side Story'?,"wrong verb tense, literal translation of 'end'",Enrique Lejano / Monica Manlises
"I once had a girl, or should I say, she once had me.","Nagkaroon ako noon ng babae, o mas tama sigurong sabihin, siya ang nagmay-ari sa akin.","May babae ako noon, o dapat ba na sabihin, ako ang naging kanya.",,Lia Guillermo/Lester Anthony Sityar
"Death exists, not as the opposite but as a part of life.","Ang kamatayan ay umiiral, hindi bilang kabaligtaran kundi bilang bahagi ng buhay.",Ang kamatayan ay hindi ang kabaligtaran pero bahagi ng buhay lang.,,Lia Guillermo/Lester Anthony Sityar
"Memory is a funny thing. When I was in the scene, I hardly paid it any attention... But after it was over, it came back to me clearly, as if my mind were replaying a tape.","Nakakatawa talaga ang alaala. Noong naroon ako, halos di ko ito pinansin… Pero pagkatapos ng lahat, bumalik ito nang malinaw, para bang naka-replay sa isipan ko.","Ang memorya ay nakakatawa bagay. Nasa eksena ako noon, pero hindi ko ito binigyan pansin… Pagkatapos, bumalik siya parang tape na nag-play.",,Lia Guillermo/Lester Anthony Sityar
"If you only read the books that everyone else is reading, you can only think what everyone else is thinking.","Kung ang binabasa mo lang ay ang binabasa ng lahat, ang maiisip mo lang ay ang iniisip ng lahat.","Kung nagbabasa ka lang ng libro na binabasa ng iba, iniisip mo lang din ang iniisip nila.",,Lia Guillermo/Lester Anthony Sityar
"I want you always to remember me. Will you remember that I existed, and that I stood next to you here like this?",Gusto kong lagi mo akong alalahanin. Maalala mo kaya na ako’y nabuhay at minsang tumabi sa’yo nang ganito?,Gusto ko na lagi mo akong naaalala. Maalala mo ba na ako ay nandoon at nakatayo sa tabi mo katulad nito?,,Lia Guillermo/Lester Anthony Sityar
People leave strange little memories of themselves behind when they die.,May iniiwang kakaiba at maliliit na alaala ang mga tao kapag sila'y namamatay.,Ang mga tao ay nag-iiwan ng kakaiba maliit na memorya kapag sila ay patay na.,"Missing “na” linker, word choice “memorya” is too technical.",Lia Guillermo/Lester Anthony Sityar
"Nobody likes being alone that much. I don’t go out of my way to make friends, that’s all. It just leads to disappointment.","Walang gustong laging nag-iisa. Hindi ko lang talaga hinahanap ang pakikipagkaibigan, nakakadismaya kasi minsan.","Walang tao na gusto na nag-iisa masyado. Hindi ako naghahanap ng kaibigan, kasi nakakadisappoint lang.","Excessive use of “na”, “masyado” is unnatural",Lia Guillermo/Lester Anthony Sityar
What happens when people open their hearts?,Ano ang nangyayari kapag binuksan ng mga tao ang kanilang mga puso?,Anong mangyari kapag mga tao ay buksan ang puso nila?,,Lia Guillermo/Lester Anthony Sityar
"Naoko was thin and beautiful and quiet, and she always seemed a little lonely.","Si Naoko ay payat, maganda, at tahimik, at palaging may bahid ng lungkot sa kanya.","Si Naoko ay manipis at maganda at tahimik, at parang malungkot siya palagi.",“Manipis” is not used to describe people,Lia Guillermo/Lester Anthony Sityar
"When I look at you, I feel I’m drifting free with no anchor, no connection to anything.","Kapag tinitingnan kita, pakiramdam ko'y wala akong direksyon, parang lutang at walang koneksyon sa kahit ano.","Pag tumingin ako sa’yo, parang ako ay lumulutang walang anchor at walang koneksyon kahit saan.","Misses “kapag” vs “pag” nuance, too literal",Lia Guillermo/Lester Anthony Sityar
I could hear the roots of loneliness creeping through me when the world was hushed at four o'clock in the morning.,Parang naririnig ko ang mga ugat ng kalungkutan na unti-unting gumagapang sa akin sa katahimikan ng alas-kuwatro ng umaga.,Naririnig ko ang loneliness roots na gumagapang sa akin kapag tahimik ang mundo sa 4:00 AM.,"Code-switching breaks tone, failed to localize “roots” metaphor.",Lia Guillermo/Lester Anthony Sityar
"I was always hungry for love. Just once, I wanted to know what it was like to get my fill of it — to be fed so much love I couldn't take any more.","Lagi akong uhaw sa pag-ibig. Kahit minsan lang, gusto kong malaman kung anong pakiramdam na mapuno ng pagmamahal.",Palagi akong gutom para sa pag-ibig. Gusto ko lang malaman ang pakiramdam na sobrang dami nito.,"“Gutom para sa” is an unnatural idiom, “uhaw” is the accepted emotional metaphor.",Lia Guillermo/Lester Anthony Sityar
"You can hide memories, but you can’t erase the history that produced them.","Maari mong itago ang mga alaala, pero hindi mo mabubura ang kasaysayang lumikha ng mga ito.",Pwede mong itago ang memorya pero hindi mo pwedeng burahin ang history nito.,“memorya” is too technical.,Lia Guillermo/Lester Anthony Sityar
Nothing can substitute for the life you are meant to live.,Walang makakapalit sa buhay na talagang para sa’yo.,Walang bagay na pwedeng pamalit sa buhay na ikaw dapat mayroon.,,Lia Guillermo/Lester Anthony Sityar
We’re all looking for something to take away the pain.,Lahat tayo'y may hinahanap na makakapawi ng sakit.,Lahat tayo naghahanap ng bagay na mag-alis ng sakit.,,Lia Guillermo/Lester Anthony Sityar
I’m not afraid of death. I’m afraid of not being able to live fully.,Hindi ako natatakot sa kamatayan. Ang kinatatakutan ko ay ang hindi ko magawang mabuhay nang buo.,"Hindi ako natatakot sa kamatayan, natatakot ako na hindi mabuhay ng buo.",,Lia Guillermo/Lester Anthony Sityar
Some things in life are too complicated to explain in any language.,May mga bagay sa buhay na masyadong komplikado para ipaliwanag sa kahit anong wika.,May mga bagay sa buhay na sobrang komplikado kaya hindi masabi sa language.,,Lia Guillermo/Lester Anthony Sityar
"The dead will always be dead, but we have to go on living.","Ang mga patay ay mananatiling patay, pero tayo’y kailangang magpatuloy sa pamumuhay.","Ang patay ay palaging patay, pero tayo kailangan magpatuloy mabuhay.",,Lia Guillermo/Lester Anthony Sityar
Just because I don’t say much doesn’t mean my life is any less rich than yours.,"Dahil tahimik ako, hindi ibig sabihin na kulang o mababaw ang buhay ko.","Kahit hindi ako nagsasalita madalas, hindi ibig sabihin walang laman ang buhay ko.",“Walang laman” is literal and crude.,Lia Guillermo/Lester Anthony Sityar
"A gentleman is someone who does not what he wants to do, but what he should do.","Ang isang ginoo ay hindi gumagawa ng gusto niya lang, kundi kung ano ang tama niyang gawin.",Ang gentleman ay ang gumagawa hindi ng gusto niya kundi kung anong dapat.,,Lia Guillermo/Lester Anthony Sityar
My tenderness of heart was even so conspicuous as to make me the jest of my companions.,"Ang kalambutan ng aking puso ay sadyang kapansin-pansin, anupa't ginawa akong katatawanan ng aking mga kasama.",Ang kabaitan ko ay sobrang halata kaya pinag-trip-an ako ng mga barkada ko.,"too colloquial, too literal",Lia Guillermo/Lester Anthony Sityar
"It was a special pleasure to see things eaten, to see things blackened and changed.","Isang natatanging galak na makitang nilalamon ang mga bagay, na makitang nangingitim ang mga ito at tuluyang nag-iiba.","Espesyal na masaya na makita ang mga bagay na sinusunog, na makitang umiitim sila at nababago.",,Lia Guillermo/Lester Anthony Sityar
"It was a bright cold day in April, and the clocks were striking thirteen.","Isang maliwanag at malamig na araw ng Abril, at ang mga orasan ay tumataginting nang labintatlo.","Isang maaraw pero maginaw na araw ng Abril, at ang mga relo ay nagsabing alas-trese na.",,Lia Guillermo/Lester Anthony Sityar
"Grabbing the gilded frame, the seventy-six-year-old man heaved the masterpiece toward himself until it tore from the wall and Saunière collapsed backward in a heap beneath the canvas.","Sinunggaban ang ginintuang kuwadro, buong-lakas na hinatak ng pitumpu't anim na taong gulang na lalaki ang obra maestra hanggang sa ito'y mabaklas sa pader, at si Saunière ay bumagsak nang patalikod na tila isang bunton sa ilalim ng kanbas.","Hawak ang frame na ginto, itinaas ng matandang lalaki ang pinta papunta sa kanya hanggang natanggal ito sa pader at si Saunière ay nahulog paatras sa ilalim ng tela.",less specific,Lia Guillermo/Lester Anthony Sityar
"I'm seventeen and I'm crazy. My uncle says the two always go together. When people ask your age, he said, always say seventeen and insane.","Disisiyete anyos ako, at baliw. Sabi ng tito ko, lagi raw talagang magkasama ang dalawang iyan. Kapag tinanong ka raw sa edad mo, sabi niya, laging sabihin mong disisiyete ka at baliw.","Ako po ay labimpitong taong gulang at may problema sa pag-iisip. Ayon sa aking tiyuhin, ang dalawang katangian ay laging magkaugnay. 'Kapag tinanong ka ng mga tao ukol sa iyong edad,' winika niya, 'dapat mong ipahayag na ikaw ay labimpito at nasisiraan ng bait.'","Excessively formal, unnatural dialog for a seventeen year old (even if talking to an adult)",Lia Guillermo/Lester Anthony Sityar
"So we beat on, boats against the current, borne back ceaselessly into the past.","Kaya't patuloy tayo sa pagsagwan, mga bangkang sumasalungat sa agos, na walang-tigil na itinutulak pabalik sa nakaraan.","Kaya pinalo natin, mga bangka laban sa kuryente, dinala pabalik nang walang hinto sa nakalipas.",,Lia Guillermo/Lester Anthony Sityar
"It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife.","Isang katotohanang kinikilala ng lahat, na ang isang binatang nagtataglay ng malaking yaman ay tiyak na nangangailangan ng asawa.","Totoo at alam ng lahat na kapag ang isang lalaking single ay maraming pera, kailangan niya talaga ng asawa.",,Lia Guillermo/Lester Anthony Sityar
You never really understand a person until you consider things from his point of view... until you climb into his skin and walk around in it.,Hindi mo lubos na maiintindihan ang isang tao hangga't hindi mo tinitingnan ang mga bagay mula sa kanyang pananaw... hangga't hindi mo inilalagay ang iyong sarili sa kanyang katayuan at sinusubukang unawain ito.,Hindi mo maiintindihan ang isang tao hanggang sa isipin mo ang kanyang punto de bista... hanggang sa akyatin mo ang kanyang balat at maglakad-lakad dito.,,Lia Guillermo/Lester Anthony Sityar
But man is not made for defeat... A man can be destroyed but not defeated.,"Ngunit ang tao ay hindi nilikha para sa pagkagapi... Maaaring wasakin ang isang tao, ngunit hindi siya magagapi.",Pero ang tao ay hindi ginawa para matalo... Pwedeng sirain ang isang tao pero hindi siya matatalo.,,Lia Guillermo/Lester Anthony Sityar
To the last I grapple with thee; from hell's heart I stab at thee; for hate's sake I spit my last breath at thee.,"Hanggang sa kahuli-hulihan, kakalabanin kita; mula sa puso ng impyerno, sasaksakin kita; sa ngalan ng pagkamuhi, idudura ko sa iyo ang aking huling hininga.","Hanggang sa huli, makikipag-wrestling ako sa iyo; galing sa puso ng impyerno, iistab-in kita; dahil sa galit, idudura ko ang huling hininga ko sa iyo.",,Lia Guillermo/Lester Anthony Sityar
"One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them.","Isang Singsing na sa lahat ay mamumuno, Isang Singsing na sa kanila'y hahanap, Isang Singsing na sa lahat ay titipon at sa dilim ay pagsasama-samahin.","Isang Singsing para kontrolin silang lahat, Isang Singsing para hanapin sila, Isang Singsing para dalhin sila lahat at sa dilim ay itali sila.",breaks the rhythm of the original line,Lia Guillermo/Lester Anthony Sityar
Fear is the mind-killer. Fear is the little-death that brings total obliteration.,Ang takot ang mamamatay-isip. Ang takot ang munting kamatayan na nagdudulot ng ganap na pagkalipol.,Ang takot ay nakakamatay ng isip. Ang takot ay parang maliit na kamatayan na nagdadala ng pagkasira.,,Lia Guillermo/Lester Anthony Sityar
It is only with the heart that one can see rightly; what is essential is invisible to the eye.,Sa pamamagitan lamang ng puso makakakitang tunay; ang mga bagay na mahalaga ay hindi nakikita ng mga mata.,Gamit lang ang puso para makakita ka nang tama; ang importante ay hindi nakikita ng mata.,,Lia Guillermo/Lester Anthony Sityar
How lucky I am to have something that makes saying goodbye so hard.,Napakasuwerte ko't mayroon akong isang bagay na ginagawang napakahirap ng pamamaalam.,Ang swerte ko dahil mayroon akong bagay na mahirap i-goodbye.,,Lia Guillermo/Lester Anthony Sityar
"I ought to be thy Adam, but I am rather the fallen angel.","Dapat sana'y ako ang iyong Adan, ngunit sa halip, ako ang naging anghel na taksil.","Kailangan ako ang Adam mo, pero ako talaga yung nahulog na anghel.",Awkward phrasing,Lia Guillermo/Lester Anthony Sityar
I have always depended on the kindness of strangers.,Lagi akong umasa sa kabutihang-loob ng mga hindi ko kilala.,Palagi akong naka-depende sa kabaitan ng mga estranghero.,Tone mismatch,Lia Guillermo/Lester Anthony Sityar
"They carried the soldier’s greatest fear, which was the fear of blushing.",Dala nila ang pinakamatinding takot ng isang sundalo: ang takot na mamula.,"Dala nila ang pinakamalaking takot ng sundalo, na siyang takot na mapahiya sa harap ng iba.",,Lia Guillermo/Lester Anthony Sityar
"To the person in the bell jar, blank and stopped as a dead baby, the world itself is the bad dream.","Para sa taong nasa loob ng garapon, walang-kibo at huminto na tila isang patay na sanggol, ang mundo mismo ang masamang panaginip.","Para sa tao sa loob ng bote, blangko at hindi gumagalaw na parang manika, ang mundo ay isang masamang panaginip.",,Lia Guillermo/Lester Anthony Sityar
"Hill House, not sane, stood by itself against its hills, holding darkness within; it had stood so for eighty years and might stand for eighty more.","Ang Hill House, wala sa katinuan, ay nakatayong mag-isa laban sa mga burol, naglalaman ng karimlan sa kalooban; nanatili itong nakatayo sa loob ng walumpung taon at maaaring manatili pa nang walumpung taon pa.","Ang Hill House, na may sira, ay nakatayo sa tabi ng mga burol, may dilim sa loob; tumayo ito ng eighty years at tatayo pa ng eighty more.",,Lia Guillermo/Lester Anthony Sityar
It is not often that someone comes along who is a true friend and a good writer. Charlotte was both.,Bihirang may dumating na isang tunay na kaibigan at mahusay na manunulat. Si Charlotte ay kapwa.,Hindi madalas mayroong isang tao na totoong kaibigan at magaling na writer. Parehas si Charlotte.,,Lia Guillermo/Lester Anthony Sityar
,,,,
The patient is feeling under the weather.,Masama ang pakiramdam ng pasyente.,Ang pasyente ay nararamdaman sa ilalim ng panahon.,Failed to recognize the idiomatic expression; translation is too literal.,Darryl Ty/Rafael Yap
The patient shows a possibility of doing self-harm.,Ang pasyente ay nagpapakita ng posibilidad na saktan ang kanyang sarili.,Ang pasyente ay nagpapakita ng posibilidad na makapinsala sa sarili.,Translation is too literal.,Darryl Ty/Rafael Yap
"The patient internalizes blame, which worsens her depression.","Sinisisi ng pasyente ang sarili niya, na nagpapalala ng kanyang depresyon.","Ang pasyente ay nag-internalize ng sisihin, na nagpapalala sa kanyang depresyon.",Code switching and wrong structure.,Darryl Ty/Rafael Yap
The patient suffers from epilepsy.,Ang pasyente ay may epilepsy.,Siya ay naghihirap mula sa epilepsy.,Filipino-flawed translation is too literal.,Darryl Ty/Rafael Yap
The patient was advised to be placed on bed rest.,Ang pasyente ay pinayuhan na magpagaling/magpahinga sa kama.,Ang pasyente ay pinayuhan na ilagay sa pahinga sa kama.,Translation is too literal.,Darryl Ty/Rafael Yap
Schizophrenia symptoms may involve hallucinations and disorganized thinking.,Ang sintomas ng schizophrenia ay maaaring makaranas ng guni-guni at hindi maayos na pag-iisip.,Ang mga sintomas ng schizophrenia ay maaaring may kasamang mga guni-guni at di-organisadong pag-iisip.,Used the word “di-organisado.”,Darryl Ty/Rafael Yap
The patient denies suicidal ideation but exhibits self-injurious behavior.,Itinatanggi ng pasyente na may balak siyang magpakamatay ngunit nagpapakita ng pananakit sa sarili.,Tinatanggihan ng pasyente ang ideya ng pagpapakamatay ngunit nagpapakita ng pag-uugaling nakakapinsala sa sarili.,Translation is too literal.,Darryl Ty/Rafael Yap
"The patient’s wound exhibits purulent discharge, suggestive of bacterial infection.","Ang sugat ng pasyente ay may nana, isang palatandaan ng impeksyon na dulot ng bakterya.","Ang sugat ay nagpapakita ng purulent discharge, na nagpapahiwatig ng bacterial infection.",The filipino-flawed statement failed to recognize the term “purulent discharge” in Filipino.,Darryl Ty/Rafael Yap
The ambulance reported that the patient suffered a polytrauma from a vehicular accident.,Ang pasyente ay madaming tinamong pinsala mula sa aksidente sa sasakyan.,Ang ambulansya ay nag-ulat ng polytrauma mula sa isang aksidente sa sasakyan.,The filipino-flawed statement failed to translate and recognize the term “polytrauma.”,Darryl Ty/Rafael Yap
